Folder	File	Sheet	Row	Column	Value	Annotation	header1
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	11	operator	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	12	date of preparation	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	13	date of analysis	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	14	"module (e.g. phys-chem, in vitro tox, in vivo tox, eco tox, …)"	endpoint_assay	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	15	"endpoint (oecd list, and others)"	endpoint_assay	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	16	"assay name (conventional name of the assay, e.g. comet, …)"	endpoint_assay	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	0	17	method and instrument information	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	17	size distribution	header1	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	17	"dispersion protocol  (ex: nanogenotox, enpra, prospect, other)"	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	18	"size distribution (ex: monomodal, bimodal or multimodal?)"	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	19	"size distribution analyse technique  (ex: dls, cls, etc…)"	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	20	"dispersion medium  (ex: water + 0.05% bsa stock solution, culture medium, etc…)"	size distribution	medium
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	21	concentration  (mg/ml)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	22	incubation time (h)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	23	mean hydrodynamic diameter (nm) in weight (w) or numer (n)*	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	24	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	25	pdi	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	2	26	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	27	integrity control quality: mean teer values  before starting nps exposure [ohms/cm²]	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	28	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	29	maximum teer value (ohms/cm²)  before starting nps exposure	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	30	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	31	minimum teer value   before starting nps exposure [ohms/cm²]	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	32	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	33	sample weight [g]	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	34	dissolution medium composition	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	35	dissolution medium volume [ml]	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	36	dissolution method	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	37	dissolution time [min]	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	38	dissolution temperature [°c]	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	39	minimum number of standards in graph	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	40	detection limit [μg/ml]	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	41	anlysed elements	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	42	element 1	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	43	element 1 emission wavelenght (nm)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	44	element 2	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	45	element 2 emission wavelenght (nm)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	0	46	results	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	46	final concentration of the element 1 [μg/ml]	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	47	final concentration of the element 2 [μg/ml]	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	0	48	sop	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	0	0	sample information	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	0	replicate number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	1	"nm id code (e.g. nm-300, jrcnm01001a, …)"	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	2	nm chemistry (core)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	3	cas number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	4	vial number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	5	nm supplier	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	6	"material state  (liquid or fluid, fluid dispersion, powder)"	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	7	use of dispersant: yes/no  (e.g. for ag nps nm-300k or nm-302)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	8	dispersant reference (indicate here the reference number of the vial used)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	9	sample name (internal reference)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	10	reporting organisation	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	11	operator	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	12	date of preparation	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	13	date of analysis	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	14	"module (e.g. phys-chem, in vitro tox, in vivo tox, eco tox, …)"	endpoint_assay	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	15	"endpoint (oecd list, and others)"	endpoint_assay	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	16	"assay name (conventional name of the assay, e.g. comet, …)"	endpoint_assay	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	0	17	method and instrument information	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	17	size distribution	header1	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	17	"dispersion protocol  (ex: nanogenotox, enpra, prospect, other)"	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	18	"size distribution (ex: monomodal, bimodal or multimodal?)"	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	19	"size distribution analyse technique  (ex: dls, cls, etc…)"	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	20	"dispersion medium  (ex: water + 0.05% bsa stock solution, culture medium, etc…)"	size distribution	medium
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	21	concentration  (mg/ml)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	22	incubation time (h)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	23	mean hydrodynamic diameter (nm) in weight (w) or numer (n)*	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	24	associated uncertainty (sd)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	25	pdi	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	2	26	associated uncertainty (sd)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	27	integrity control quality: mean teer values  before starting nps exposure [ohms/cm²]	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	28	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	29	maximum teer value (ohms/cm²)  before starting nps exposure	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	30	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	31	minimum teer value   before starting nps exposure [ohms/cm²]	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	32	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	33	instrument model	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	34	resolution	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	35	accelaration voltage	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	36	edx (yes/no)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	37	edx model	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	38	in vitro barrier model	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	39	cell type	method and instrument information	cell
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	40	cell culture medium composition	method and instrument information	cell
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	41	insert	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	42	number of cells/insert	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	43	volume of medium/insert apical medium	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	44	volume of medium/well basolateral medium	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	45	days of differentiation	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	46	integrity control quality: mean teer values (ohms/cm²) before starting nps exposure	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	47	maximum and minimum teer values before starting nps exposure (ohms/cm²)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	48	"nps tested concentrations  (ex: 10, 1 µg/ml)"	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	49	corresponding dose/surface unit (µg cm-2)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	50	incubation time with nps	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	51	"pretreatment of basolateral medium before observation/analysis (ex: evaportation of medium, treatment with proteinase k, acidic digestion, etc)"	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	0	52	results	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	52	total number of replicates	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	53	number of replicates containing  nps (x replicates containing nps/ y observed replicates)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	1	54	detection/observation of nps in basolateral medium (yes/no)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ToF-SIMS	0	55	sop	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	0	0	sample information	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	0	replicate number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	1	"nm id code (e.g. nm-300, jrcnm01001a, …)"	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	2	nm chemistry (core)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	3	cas number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	4	vial number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	5	nm supplier	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	6	"material state  (liquid or fluid, fluid dispersion, powder)"	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	7	use of dispersant: yes/no  (e.g. for ag nps nm-300k or nm-302)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	8	dispersant reference (indicate here the reference number of the vial used)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP intracell pen(confocal micro	1	9	sample name (internal reference)	sample information	
